Date,Price
1992-01-08,2.526
1992-01-15,2.594
1992-01-22,2.636
1992-01-29,2.642
1992-02-05,2.646
1992-02-12,2.624
1992-02-19,2.636
1992-02-26,2.646
1992-03-04,2.672
1992-03-11,2.642
1992-03-18,2.674
1992-03-25,2.700
1992-04-01,2.602
1992-04-08,2.534
1992-04-15,2.534
1992-04-22,2.494
1992-04-29,2.476
1992-05-06,2.552
1992-05-13,2.590
1992-05-20,2.530
1992-05-27,2.594
1992-06-03,2.586
1992-06-10,2.592
1992-06-17,2.512
1992-06-24,2.540
1992-07-01,2.496
1992-07-08,2.444
1992-07-15,2.286
1992-07-22,2.210
1992-07-29,2.202
1992-08-05,2.122
1992-08-12,2.194
1992-08-19,2.226
1992-08-26,2.170
1992-09-02,2.256
1992-09-09,2.242
1992-09-16,2.224
1992-09-23,2.162
1992-09-30,2.112
1992-10-07,2.082
1992-10-14,2.076
1992-10-21,2.066
1992-10-28,2.072
1992-11-04,2.080
1992-11-11,2.124
1992-11-18,2.136
1992-11-25,2.130
1992-12-02,2.106
1992-12-09,2.120
1992-12-16,2.112
1992-12-23,2.196
1992-12-30,2.164
1993-01-06,2.184
1993-01-13,2.170
1993-01-20,2.184
1993-01-27,2.144
1993-02-03,2.120
1993-02-10,2.122
1993-02-17,2.126
1993-02-24,2.112
1993-03-03,2.136
1993-03-10,2.134
1993-03-17,2.212
1993-03-24,2.286
1993-03-31,2.306
1993-04-07,2.316
1993-04-14,2.276
1993-04-21,2.242
1993-04-28,2.280
1993-05-05,2.276
1993-05-12,2.230
1993-05-19,2.282
1993-05-26,2.244
1993-06-02,2.192
1993-06-09,2.150
1993-06-16,2.162
1993-06-23,2.190
1993-06-30,2.314
1993-07-07,2.344
1993-07-14,2.354
1993-07-21,2.440
1993-07-28,2.356
1993-08-04,2.410
1993-08-11,2.386
1993-08-18,2.366
1993-08-25,2.340
1993-09-01,2.294
1993-09-08,2.262
1993-09-15,2.420
1993-09-22,2.486
1993-09-29,2.426
1993-10-06,2.416
1993-10-13,2.486
1993-10-20,2.534
1993-10-27,2.576
1993-11-03,2.636
1993-11-10,2.776
1993-11-17,2.816
1993-11-24,2.826
1993-12-01,2.850
1993-12-08,2.862
1993-12-15,2.880
1993-12-22,2.990
1993-12-29,3.060
1994-01-05,3.090
1994-01-12,3.100
1994-01-19,2.976
1994-01-26,2.900
1994-02-02,2.884
1994-02-09,2.982
1994-02-16,2.882
1994-02-23,2.842
1994-03-02,2.782
1994-03-09,2.750
1994-03-16,2.810
1994-03-23,2.832
1994-03-30,2.746
1994-04-06,2.740
1994-04-13,2.650
1994-04-20,2.590
1994-04-27,2.690
1994-05-04,2.590
1994-05-11,2.602
1994-05-18,2.686
1994-05-25,2.666
1994-06-01,2.734
1994-06-08,2.732
1994-06-15,2.832
1994-06-22,2.554
1994-06-29,2.480
1994-07-06,2.414
1994-07-13,2.366
1994-07-20,2.152
1994-07-27,2.186
1994-08-03,2.172
1994-08-10,2.174
1994-08-17,2.210
1994-08-24,2.204
1994-08-31,2.226
1994-09-07,2.230
1994-09-14,2.166
1994-09-21,2.170
1994-09-28,2.156
1994-10-05,2.142
1994-10-12,2.174
1994-10-19,2.146
1994-10-26,2.166
1994-11-02,2.156
1994-11-09,2.174
1994-11-16,2.172
1994-11-23,2.122
1994-11-30,2.154
1994-12-07,2.186
1994-12-14,2.182
1994-12-21,2.312
1994-12-28,2.310
1995-01-04,2.316
1995-01-11,2.340
1995-01-18,2.342
1995-01-25,2.322
1995-02-01,2.324
1995-02-08,2.344
1995-02-15,2.326
1995-02-22,2.332
1995-03-01,2.334
1995-03-08,2.386
1995-03-15,2.406
1995-03-22,2.466
1995-03-29,2.500
1995-04-05,2.500
1995-04-12,2.466
1995-04-19,2.466
1995-04-26,2.490
1995-05-03,2.496
1995-05-10,2.522
1995-05-17,2.522
1995-05-24,2.710
1995-05-31,2.722
1995-06-07,2.694
1995-06-14,2.772
1995-06-21,2.790
1995-06-28,2.720
1995-07-05,2.772
1995-07-12,2.870
1995-07-19,2.934
1995-07-26,2.890
1995-08-02,2.762
1995-08-09,2.786
1995-08-16,2.816
1995-08-23,2.886
1995-08-30,2.960
1995-09-06,2.910
1995-09-13,2.942
1995-09-20,3.100
1995-09-27,3.116
1995-10-04,3.106
1995-10-11,3.252
1995-10-18,3.326
1995-10-25,3.284
1995-11-01,3.320
1995-11-08,3.276
1995-11-15,3.280
1995-11-22,3.280
1995-11-29,3.312
1995-12-06,3.366
1995-12-13,3.370
1995-12-20,3.582
1995-12-27,3.692
1996-01-03,3.664
1996-01-10,3.626
1996-01-17,3.606
1996-01-24,3.574
1996-01-31,3.666
1996-02-07,3.630
1996-02-14,3.800
1996-02-21,3.804
1996-02-28,3.932
1996-03-06,3.920
1996-03-13,3.912
1996-03-20,3.964
1996-03-27,4.090
1996-04-03,4.264
1996-04-10,4.510
1996-04-17,4.580
1996-04-24,5.074
1996-05-01,4.710
1996-05-08,5.060
1996-05-15,5.286
1996-05-22,4.886
1996-05-29,4.772
1996-06-05,4.590
1996-06-12,4.646
1996-06-19,4.700
1996-06-26,5.162
1996-07-03,5.310
1996-07-10,5.480
1996-07-17,4.944
1996-07-24,3.500
1996-07-31,3.582
1996-08-07,3.630
1996-08-14,3.674
1996-08-21,3.654
1996-08-28,3.704
1996-09-04,3.624
1996-09-11,3.616
1996-09-18,3.142
1996-09-25,3.032
1996-10-02,2.894
1996-10-09,2.836
1996-10-16,2.802
1996-10-23,2.752
1996-10-30,2.630
1996-11-06,2.674
1996-11-13,2.694
1996-11-20,2.724
1996-11-27,2.706
1996-12-04,2.672
1996-12-11,2.672
1996-12-18,2.666
1996-12-25,2.644
1997-01-01,2.564
1997-01-08,2.654
1997-01-15,2.732
1997-01-22,2.726
1997-01-29,2.702
1997-02-05,2.710
1997-02-12,2.740
1997-02-19,2.916
1997-02-26,2.966
1997-03-05,3.060
1997-03-12,3.072
1997-03-19,3.002
1997-03-26,3.082
1997-04-02,2.942
1997-04-09,2.994
1997-04-16,3.002
1997-04-23,2.944
1997-04-30,2.946
1997-05-07,2.920
1997-05-14,2.882
1997-05-21,2.704
1997-05-28,2.706
1997-06-04,2.740
1997-06-11,2.714
1997-06-18,2.654
1997-06-25,2.462
1997-07-02,2.446
1997-07-09,2.514
1997-07-16,2.702
1997-07-23,2.432
1997-07-30,2.684
1997-08-06,2.534
1997-08-13,2.600
1997-08-20,2.716
1997-08-27,2.656
1997-09-03,2.662
1997-09-10,2.662
1997-09-17,2.554
1997-09-24,2.576
1997-10-01,2.646
1997-10-08,2.882
1997-10-15,2.820
1997-10-22,2.896
1997-10-29,2.796
1997-11-05,2.840
1997-11-12,2.720
1997-11-19,2.754
1997-11-26,2.714
1997-12-03,2.690
1997-12-10,2.614
1997-12-17,2.534
1997-12-24,2.692
1998-01-07,2.626
1998-01-14,2.596
1998-01-21,2.770
1998-01-28,2.754
1998-02-04,2.730
1998-02-11,2.700
1998-02-18,2.702
1998-02-25,2.664
1998-03-04,2.614
1998-03-11,2.676
1998-03-18,2.680
1998-03-25,2.592
1998-04-01,2.622
1998-04-08,2.530
1998-04-15,2.494
1998-04-22,2.504
1998-04-29,2.510
1998-05-06,2.430
1998-05-13,2.482
1998-05-20,2.392
1998-05-27,2.472
1998-06-03,2.384
1998-06-10,2.370
1998-06-17,2.362
1998-06-24,2.534
1998-07-01,2.504
1998-07-08,2.370
1998-07-15,2.336
1998-07-22,2.350
1998-07-29,2.246
1998-08-05,2.174
1998-08-12,2.112
1998-08-19,2.064
1998-08-26,2.054
1998-09-02,1.896
1998-09-09,1.954
1998-09-16,2.004
1998-09-23,2.105
1998-09-30,2.060
1998-10-07,2.060
1998-10-14,2.100
1998-10-21,2.188
1998-10-28,2.193
1998-11-04,2.168
1998-11-11,2.205
1998-11-18,2.308
1998-11-25,2.293
1998-12-02,2.230
1998-12-09,2.245
1998-12-16,2.193
1998-12-23,2.208
1998-12-30,2.135
1999-01-06,2.218
1999-01-13,2.155
1999-01-20,2.163
1999-01-27,2.145
1999-02-03,2.185
1999-02-10,2.150
1999-02-17,2.150
1999-02-24,2.103
1999-03-03,2.160
1999-03-10,2.228
1999-03-17,2.290
1999-03-24,2.323
1999-03-31,2.220
1999-04-07,2.165
1999-04-14,2.180
1999-04-21,2.203
1999-04-28,2.188
1999-05-05,2.185
1999-05-12,2.218
1999-05-19,2.185
1999-05-26,2.195
1999-06-02,2.208
1999-06-09,2.173
1999-06-16,2.208
1999-06-23,2.143
1999-06-30,2.023
1999-07-07,1.863
1999-07-14,1.878
1999-07-21,2.120
1999-07-28,2.033
1999-08-04,2.235
1999-08-11,2.095
1999-08-18,2.098
1999-08-25,2.153
1999-09-01,2.225
1999-09-08,2.178
1999-09-15,2.103
1999-09-22,2.088
1999-09-29,2.050
1999-10-06,1.985
1999-10-13,1.993
1999-10-20,1.995
1999-10-27,1.995
1999-11-03,2.010
1999-11-10,1.943
1999-11-17,1.923
1999-11-24,2.033
1999-12-01,2.015
1999-12-08,1.983
1999-12-15,2.015
1999-12-22,2.043
1999-12-29,2.045
2000-01-05,2.070
2000-01-12,2.190
2000-01-19,2.228
2000-01-26,2.235
2000-02-02,2.198
2000-02-09,2.218
2000-02-16,2.205
2000-02-23,2.215
2000-03-01,2.255
2000-03-08,2.268
2000-03-15,2.408
2000-03-22,2.320
2000-03-29,2.360
2000-04-05,2.293
2000-04-12,2.263
2000-04-19,2.268
2000-04-26,2.320
2000-05-03,2.483
2000-05-10,2.458
2000-05-17,2.400
2000-05-24,2.335
2000-05-31,2.290
2000-06-07,2.193
2000-06-14,2.073
2000-06-21,1.995
2000-06-28,1.958
2000-07-05,1.908
2000-07-12,1.825
2000-07-19,1.878
2000-07-26,1.803
2000-08-02,1.788
2000-08-09,1.748
2000-08-16,1.785
2000-08-23,1.765
2000-08-30,1.943
2000-09-06,1.955
2000-09-13,1.878
2000-09-20,1.940
2000-09-27,1.993
2000-10-04,2.033
2000-10-11,2.080
2000-10-18,2.053
2000-10-25,2.008
2000-11-01,2.133
2000-11-08,2.120
2000-11-15,2.113
2000-11-22,2.233
2000-11-29,2.215
2000-12-06,2.188
2000-12-13,2.183
2000-12-20,2.268
2000-12-27,2.318
2001-01-03,2.260
2001-01-10,2.193
2001-01-17,2.150
2001-01-24,2.095
2001-01-31,2.130
2001-02-07,2.103
2001-02-14,2.120
2001-02-21,2.093
2001-02-28,2.228
2001-03-07,2.198
2001-03-14,2.075
2001-03-21,2.070
2001-03-28,2.033
2001-04-04,2.103
2001-04-11,2.118
2001-04-18,2.020
2001-04-25,2.043
2001-05-02,2.100
2001-05-09,1.970
2001-05-16,1.998
2001-05-23,1.913
2001-05-30,1.988
2001-06-06,1.973
2001-06-13,1.905
2001-06-20,1.873
2001-06-27,1.993
2001-07-04,2.073
2001-07-11,2.243
2001-07-18,2.090
2001-07-25,2.205
2001-08-01,2.105
