Week #,Price
1998-01-07,9.443
1998-01-14,9.413
1998-01-21,9.145
1998-01-28,9.185
1998-02-04,9.335
1998-02-11,9.543
1998-02-18,9.483
1998-02-25,9.405
1998-03-04,9.183
1998-03-11,8.858
1998-03-18,8.933
1998-03-25,9.010
1998-04-01,8.845
1998-04-08,8.853
1998-04-15,8.818
1998-04-22,8.643
1998-04-29,8.813
1998-05-06,8.855
1998-05-13,8.810
1998-05-20,9.125
1998-05-27,8.970
1998-06-03,8.803
1998-06-10,8.668
1998-06-17,8.693
1998-06-24,8.613
1998-07-01,8.520
1998-07-08,8.450
1998-07-15,8.390
1998-07-22,8.230
1998-07-29,8.130
1998-08-05,8.090
1998-08-12,8.060
1998-08-19,8.010
1998-08-26,8.040
1998-09-02,7.720
1998-09-09,7.680
1998-09-16,7.780
1998-09-23,7.380
1998-09-30,7.280
1998-10-07,7.500
1998-10-14,7.600
1998-10-21,7.710
1998-10-28,7.820
1998-11-04,7.980
1998-11-11,8.340
1998-11-18,8.390
1998-11-25,8.460
1998-12-02,8.430
1998-12-09,8.200
1998-12-16,8.073
1998-12-23,8.105
1998-12-30,8.018
1999-01-06,8.075
1999-01-13,7.848
1999-01-20,7.733
1999-01-27,7.513
1999-02-03,7.368
1999-02-10,7.153
1999-02-17,6.933
1999-02-24,6.540
1999-03-03,6.620
1999-03-10,6.895
1999-03-17,7.083
1999-03-24,7.178
1999-03-31,7.043
1999-04-07,6.900
1999-04-14,6.968
1999-04-21,6.908
1999-04-28,6.705
1999-05-05,6.625
1999-05-12,6.593
1999-05-19,6.638
1999-05-26,6.593
1999-06-02,6.670
1999-06-09,6.698
1999-06-16,6.743
1999-06-23,6.505
1999-06-30,6.300
1999-07-07,5.880
1999-07-14,6.053
1999-07-21,6.840
1999-07-28,6.325
1999-08-04,6.825
1999-08-11,6.375
1999-08-18,6.663
1999-08-25,6.680
1999-09-01,7.083
1999-09-08,7.163
1999-09-15,6.675
1999-09-22,6.500
1999-09-29,6.560
1999-10-06,6.655
1999-10-13,6.790
1999-10-20,6.513
1999-10-27,6.428
1999-11-03,6.425
1999-11-10,6.373
1999-11-17,6.433
1999-11-24,6.463
1999-12-01,6.770
1999-12-08,6.610
1999-12-15,6.423
1999-12-22,6.645
1999-12-29,6.548
2000-01-05,6.674
2000-01-12,6.915
2000-01-19,7.094
2000-01-26,7.265
2000-02-02,7.075
2000-02-09,7.099
2000-02-16,7.220
2000-02-23,7.033
2000-03-01,7.080
2000-03-08,7.173
2000-03-15,7.525
2000-03-22,7.448
2000-03-29,7.555
2000-04-05,7.488
2000-04-12,7.445
2000-04-19,7.563
2000-04-26,7.478
2000-05-03,7.860
2000-05-10,7.838
2000-05-17,7.775
2000-05-24,7.583
2000-05-31,7.493
2000-06-07,7.308
2000-06-14,7.148
2000-06-21,6.948
2000-06-28,6.838
2000-07-05,6.660
2000-07-12,6.570
2000-07-19,6.755
2000-07-26,6.623
2000-08-02,6.483
2000-08-09,6.630
2000-08-16,6.675
2000-08-23,6.835
2000-08-30,7.280
2000-09-06,7.250
2000-09-13,7.103
2000-09-20,7.190
2000-09-27,6.985
2000-10-04,6.650
2000-10-11,6.460
2000-10-18,6.513
2000-10-25,6.465
2000-11-01,6.713
2000-11-08,6.705
2000-11-15,7.053
2000-11-22,7.278
2000-11-29,7.355
2000-12-06,7.420
2000-12-13,7.373
2000-12-20,7.468
2000-12-27,7.248
2001-01-03,7.098
2001-01-10,6.850
2001-01-17,6.758
2001-01-24,6.693
2001-01-31,6.645
2001-02-07,6.558
2001-02-14,6.590
2001-02-21,6.600
2001-02-28,6.785
2001-03-07,6.845
2001-03-14,6.650
2001-03-21,6.580
2001-03-28,6.555
2001-04-04,6.600
2001-04-11,6.593
2001-04-18,6.468
2001-04-25,6.428
2001-05-02,6.573
2001-05-09,6.583
2001-05-16,6.880
2001-05-23,6.828
2001-05-30,6.845
2001-06-06,7.015
2001-06-13,7.020
2001-06-20,6.895
2001-06-27,7.153
2001-07-04,7.258
2001-07-11,7.725
2001-07-18,7.235
2001-07-25,7.443
2001-08-01,7.205
2001-08-08,7.745
2001-08-15,7.738
2001-08-22,7.410
2001-08-29,7.485
2001-09-05,7.323
2001-09-12,7.300
2001-09-19,7.188
2001-09-26,7.088
2001-10-03,7.053
2001-10-10,6.880
2001-10-17,6.798
2001-10-24,6.815
2001-10-31,6.895
2001-11-07,6.870
2001-11-14,6.960
2001-11-21,6.973
2001-11-28,6.910
2001-12-05,6.903
2001-12-12,6.763
2001-12-19,6.785
2001-12-26,6.623
2002-01-02,6.665
2002-01-09,6.905
2002-01-16,7.080
2002-01-23,6.893
2002-01-30,6.718
2002-02-06,6.765
2002-02-13,6.848
2002-02-20,6.913
2002-02-27,7.035
2002-03-06,7.170
2002-03-13,7.263
2002-03-20,7.085
2002-03-27,7.403
2002-04-03,7.295
2002-04-10,7.245
2002-04-17,7.295
2002-04-24,7.195
2002-05-01,7.108
2002-05-08,7.228
2002-05-15,7.380
2002-05-22,7.365
2002-05-29,7.608
2002-06-05,7.620
2002-06-12,7.555
2002-06-19,7.475
2002-06-26,8.018
2002-07-03,8.258
2002-07-10,8.418
2002-07-17,8.555
2002-07-24,8.428
2002-07-31,8.555
2002-08-07,8.243
2002-08-14,8.690
2002-08-21,8.265
2002-08-28,8.283
2002-09-04,8.450
2002-09-11,8.503
2002-09-18,8.320
2002-09-25,8.268
2002-10-02,7.985
2002-10-09,7.905
2002-10-16,8.215
2002-10-23,8.320
2002-10-30,8.538
2002-11-06,8.560
2002-11-13,8.628
2002-11-20,8.788
2002-11-27,8.813
2002-12-04,8.523
2002-12-11,8.625
2002-12-18,8.545
2002-12-25,8.525
2003-01-01,8.790
2003-01-08,8.460
2003-01-15,8.300
2003-01-22,8.440
2003-01-29,8.440
2003-02-05,8.290
2003-02-12,8.540
2003-02-19,8.450
2003-02-26,8.420
2003-03-05,8.090
2003-03-12,8.310
