Week #,Price
2004-01-07,4.417
2004-01-14,4.436
2004-01-21,4.442
2004-01-28,4.378
2004-02-04,4.415
2004-02-11,4.585
2004-02-18,4.541
2004-02-25,4.784
2004-03-03,4.674
2004-03-10,4.459
2004-03-17,4.752
2004-03-24,5.100
2004-03-31,4.853
2004-04-07,4.821
2004-04-14,4.624
2004-04-21,4.590
2004-04-28,4.552
2004-05-05,4.733
2004-05-12,4.330
2004-05-19,4.284
2004-05-26,4.278
2004-06-02,4.242
2004-06-09,4.016
2004-06-16,4.290
2004-06-23,4.313
2004-06-30,4.127
2004-07-07,4.072
2004-07-14,4.033
2004-07-21,3.955
2004-07-28,3.886
2004-08-04,3.872
2004-08-11,3.764
2004-08-18,3.788
2004-08-25,3.980
2004-09-01,3.982
2004-09-08,3.952
2004-09-15,4.170
2004-09-22,3.998
2004-09-29,3.762
2004-10-06,3.665
2004-10-13,3.753
2004-10-20,3.750
2004-10-27,3.954
2004-11-03,3.744
2004-11-10,3.698
2004-11-17,3.802
2004-11-24,3.636
2004-12-01,3.710
2004-12-08,3.838
2004-12-15,3.886
2004-12-22,3.970
2004-12-29,3.877
2005-01-05,3.896
2005-01-12,3.884
2005-01-19,3.820
2005-01-26,3.808
2005-02-02,3.804
2005-02-09,3.950
2005-02-16,3.956
2005-02-23,4.152
2005-03-02,4.478
2005-03-09,4.440
2005-03-16,4.634
2005-03-23,4.398
2005-03-30,4.256
2005-04-06,4.056
2005-04-13,4.022
2005-04-20,3.962
2005-04-27,4.090
2005-05-04,3.902
2005-05-11,3.818
2005-05-18,3.844
2005-05-25,4.092
2005-06-01,3.982
2005-06-08,3.824
2005-06-15,3.850
2005-06-22,4.014
2005-06-29,3.952
2005-07-06,4.026
2005-07-13,3.914
2005-07-20,3.907
2005-07-27,3.840
2005-08-03,3.816
2005-08-10,3.756
2005-08-17,3.698
2005-08-24,3.688
2005-08-31,3.596
2005-09-07,3.678
2005-09-14,3.714
2005-09-21,3.684
2005-09-28,3.762
2005-10-05,3.938
2005-10-12,4.018
2005-10-19,3.886
2005-10-26,3.782
2005-11-02,3.694
2005-11-09,3.686
2005-11-16,3.634
2005-11-23,3.580
2005-11-30,3.752
2005-12-07,3.610
2005-12-14,3.660
2005-12-21,3.818
2005-12-28,3.953
2006-01-04,3.925
2006-01-11,3.826
2006-01-18,3.775
2006-01-25,3.866
2006-02-01,4.010
2006-02-08,4.142
2006-02-15,4.168
2006-02-22,4.355
2006-03-01,4.338
2006-03-08,4.484
2006-03-15,4.268
2006-03-22,4.214
2006-03-29,4.172
2006-04-05,4.190
2006-04-12,4.318
2006-04-19,4.188
2006-04-26,4.082
2006-05-03,4.108
2006-05-10,4.322
2006-05-17,4.478
2006-05-24,4.158
2006-05-31,3.908
2006-06-07,3.772
2006-06-14,3.548
2006-06-21,3.562
2006-06-28,3.748
2006-07-05,3.958
2006-07-12,4.052
2006-07-19,4.004
2006-07-26,3.750
2006-08-02,3.678
2006-08-09,3.532
2006-08-16,3.366
2006-08-23,3.326
2006-08-30,3.684
2006-09-06,3.918
2006-09-13,3.732
2006-09-20,3.868
2006-09-27,4.054
2006-10-04,4.338
2006-10-11,4.726
2006-10-18,4.762
2006-10-25,4.652
2006-11-01,4.692
2006-11-08,4.722
2006-11-15,4.588
2006-11-22,4.778
2006-11-29,4.920
2006-12-06,4.984
2006-12-13,4.842
